year,exporter,importer,value_final,value_exporter,value_importer
2020,VEN,ANS,2407837275.0,0.0,0.0
2021,VEN,ANS,6312974625.0,0.0,0.0
2022,VEN,ANS,11428593365.0,0.0,0.0
2023,VEN,ANS,10194000000.0,0.0,0.0
2024,VEN,ANS,13819584400.0,0.0,0.0
